brand,name,price,year,damage,last_seen
opel,Opel Astra H TÜV neu,2650,2004,,2016-03-20 14:56:34
opel,Opel Corsa. 1 Jahr Tuev.,350,2017,,2016-03-08 16:46:14
opel,Opel Corsa B 1.2 TÜV 11/16 Webasto Standheizung,500,1996,,2016-04-07 11:17:28
opel,Opel Zafira irmscher,1799,1999,,2016-03-25 01:45:48
opel,Opel Corsa 1.4 ecoFLEX Start/Stop Color Edition,9999,2014,,2016-04-06 23:46:25
opel,opel astra f cabriolet,999,1994,,2016-04-05 12:26:18
opel,Opel Astra 1.7 CDTI Caravan DPF Catch me now,3200,2008,,2016-04-05 09:52:46
opel,Opel Vectra 2.2 DTI,1750,2002,,2016-04-06 20:16:15
opel,Opel Vectra 2 2 GTS Tuev 12/2017,3600,2003,,2016-03-25 06:45:16
opel,Opel corsa Unfallfahrzeug,400,2017,ja,2016-04-06 11:46:50
opel,Opel Astra Automatik,3400,2018,,2016-03-23 08:47:00
opel,Opel Astra Kombi mit Anhaengerkupplung,2000,1998,,2016-04-05 17:21:46
opel,Astra Gsi C20let 3xxPs Eds F28,6250,2016,,2016-04-03 16:47:23
opel,Opel Corsa Grand Slam,500,1995,,2016-03-30 02:46:26
opel,Opel Astra G Cabrio,2750,2001,,2016-04-06 04:45:01
opel,Opel corsa b tuev 3.2018,650,1997,,2016-03-12 13:45:24
opel,Opel Corsa B           AHK,444,1995,,2016-04-01 13:45:31
opel,Opel Zafira 1.7 CDT AHK Regen Lichtsensor  unfallfrei,9650,2011,,2016-03-06 03:44:26
opel,Opel Corsa 1.2 16V Comfort Tuev/AU neu,1690,2001,,2016-04-06 22:46:14
opel,Astra cabrio,1299,2016,,2016-04-02 18:42:54
opel,Opel Omega mit Hagelschaden,650,2000,ja,2016-04-06 12:44:35
opel,Opel Vectra 1 6,1500,1998,,2016-03-31 01:45:53
opel,Opel Corsa 1.2 16V   2 HAND  KLIMA  8 FACH TÜV NEU!!!,2238,2003,,2016-03-24 11:46:38
opel,OPEL Vectra B Kombi 2.0 DTI mit AHK,890,2002,,2016-03-12 21:17:43
opel,Opel Corsa City,1099,1995,,2016-03-22 00:46:44
opel,Opel Astra 1.6,1700,2000,,2016-03-28 00:16:22
opel,Opel Astra G Caravan  Edition 100  Silber Metallic.,1600,1999,,2016-04-07 02:17:02
opel,Opel Corsa C 1 2 in Top Zustand,2700,2003,,2016-04-06 00:46:36
opel,Opel Corsa 1.3 CDTI,800,2005,ja,2016-03-27 10:46:00
opel,Opel Insignia Sportstourer,11500,2015,,2016-03-05 16:42:28
opel,Opel Corsa 1.3 CDTI Style,2400,2004,,2016-03-28 12:47:17
opel,Opel Corsa SWING   JOY Benziner mit Erdgas Anlage,150,2016,ja,2016-03-19 11:15:53
opel,Opel Zafira 1.6 Comfort,1200,2000,,2016-03-31 23:41:53
opel,Opel Corsa 1.3 CDTI 5Tuerer  Klimaanlage,1650,2006,,2016-03-30 18:47:25
opel,Opel combo 1.7 D,450,1996,,2016-03-21 14:41:49
opel,195/55 r15 sommerreifen alu,0,1111,,2016-03-20 16:44:37
opel,Opel Vectra A CC GT / 1.Hand / 77 tkm / Bastler / evntl. Tausch,1000,1991,,2016-04-06 08:45:33
opel,Opel Frontera 2.2 16V,1698,1997,,2016-04-04 07:17:41
opel,Opel Corsa   Bj 2005,1650,2017,,2016-03-31 13:16:32
opel,Opel Vectra B,2250,2001,,2016-04-07 05:45:04
opel,Privat Anbieter,1000,2016,,2016-03-27 03:46:20
opel,Zafira 2 2 DTI OPC Edition,3500,2005,,2016-04-03 12:13:00
opel,Opel Corsa 1.3 CDTI DPF ecoFLEX,8200,2013,,2016-03-24 23:43:50
opel,Opel Vertra Verkauf oder Tausch,800,1998,,2016-04-07 10:16:27
opel,Opel Vectra B 1.8 16V KLIMA ALU FACE MFL TÜV 7.2016,699,1997,,2016-03-12 09:44:12
opel,Opel COMFORT 1 6 coupe,950,1998,,2016-04-07 05:16:11
opel,Corsa TÜV Juli 2016,180,1997,,2016-04-07 06:16:57
opel,Opel Astra G 1.6l,0,2000,,2016-04-06 15:15:39
opel,Opel Zafira A 1.6 16V Comfort T98  Starsilber  101 PS,1600,2001,,2016-03-19 13:49:50
opel,Zafira Tourer 2.0 CDTI Start Stop Navi Kamera,8800,2011,,2016-03-22 21:46:43
opel,Opel Omega 2 0 116PS TÜV 04/2016 Neue Bremsen  Wasserpumpe usw,398,1996,,2016-03-23 14:48:25
opel,Opel Astra 2.0 16V Turbo Coupe,6999,2001,,2016-04-05 23:45:59
opel,diesel sparbuechse corsa c,1850,2002,,2016-03-26 20:47:17
opel,Opel Corsa D 1.0,3950,2007,,2016-04-07 05:15:54
opel,Opel Corsa 1.2 Easytronic m.Seitenschaden,2800,2007,ja,2016-03-17 18:54:42
opel,Opel Astra 1.8 16V Coupe,1800,2001,,2016-03-23 12:47:26
opel,Opel Corsa 1.3 Cdti ERSTE HAND gruene Plakette Guter Zustand,2399,2004,,2016-04-04 00:18:11
opel,Opel Zafira 1.8 Njoy mit Style Paket,2600,2005,,2016-03-25 11:47:17
opel,Opel Vectra 2.8 V6 Turbo Automatik Cosmo,6990,2005,,2016-04-06 02:17:16
opel,Opel Corsa 1.2 16V Comfort,1400,2002,,2016-04-06 19:25:24
opel,Opel zafira 1.9 CDTI Navi  Panoramadach  Sitzheizung  Leder,5500,2005,,2016-04-06 06:17:07
opel,Tausche oder verkaufe,0,2000,,2016-03-26 19:47:19
opel,Opel Omega B Caravan 2 0  fahrbereit,1,1998,,2016-03-27 08:45:52
opel,Opel Rekord C 1900 S Automatic,2900,1971,,2016-04-05 11:48:37
opel,Opel Vectra kombi 1.9 CDTI IRMSCHER vers.         POLSKIE rej..,3800,2005,,2016-04-06 05:15:57
opel,Opel Corsa 1.2,150,1996,,2016-04-05 20:47:00
opel,Opel Corsa B 1.2 Webasto Standheizung TÜV 11/16,500,1996,,2016-04-06 09:46:52
opel,Opel Corsa 1.0 12V,2800,2006,,2016-04-06 05:16:04
opel,Auto verkauf,1600,2001,,2016-04-06 03:16:43
opel,Astra H Caravan an Bastler,2500,2005,,2016-04-06 20:15:40
opel,Noch Fahrtuechtig   nicht mehr angemeldet,500,1999,,2016-04-06 09:16:05
opel,Opel Vectra c voll fahrbereit,2800,2002,,2016-04-04 18:17:25
opel,Verkaufe Opel Corsa D,5000,2007,,2016-04-06 09:17:26
opel,Opel Meriva  Klima  Reserviert !!!,2250,2017,,2016-03-08 09:16:28
opel,Opel Corsa 1.0 12V,1500,2002,,2016-04-06 04:44:51
opel,Opel Vectra B,200,2016,ja,2016-03-14 16:38:16
opel,opel combo in bestzustand,4500,2012,ja,2016-04-05 12:16:01
opel,Opel Astra 1.6 Caravan Edition 100 Classic TÜV Neu,1799,1999,,2016-04-06 01:15:51
opel,Opel Corsa C Sport,1400,2002,,2016-03-28 19:17:43
opel,Opel Signum 1.9 CDTI Automatik Sport   Sehr gepflegt,5900,2006,,2016-04-05 11:49:30
opel,Opel Vectra 1.6 Sport Tuning mit neuem TÜV,1799,1998,,2016-04-05 11:49:40
opel,Opel Astra H 1.4,3800,2005,,2016-04-06 00:45:19
opel,Opel Agila 1.0 12 V,1000,2003,,2016-04-02 17:39:21
opel,Opel Zafira 1 6,1995,2003,,2016-04-03 17:46:36
opel,Vectra b 2.0l TÜV April 2017,750,1997,,2016-03-17 23:18:17
opel,hallo top Zustand,700,2000,,2016-03-12 00:46:48
opel,Opel Corsa 1 4 Bj. 98,550,1998,,2016-04-06 13:17:51
opel,Opel Astra 1.7 CDTI Njoy,3800,2003,,2016-04-06 21:18:59
opel,Opel corsa 1.4 mit TÜV,250,1997,,2016-03-28 22:17:47
opel,Opel Zafria 1.9 CDTI Diesel 150! Ps,7900,2007,,2016-04-06 15:45:01
opel,Opel vectra b 1.6 152780km,400,1998,,2016-03-09 04:17:36
opel,Opel Corsa B  echte 89965 KM gelaufen,555,1999,,2016-03-25 17:39:10
opel,Opel Astra 1 6 Selection,3000,2001,,2016-04-06 15:17:03
opel,Opel Meriva 1.6 l  mit Anhaengerkupplung,2000,2003,,2016-04-06 01:16:47
opel,Opel Astra H 1.8 TÜV 11/17,4200,2004,,2016-04-05 18:15:26
opel,Opel Astra 1.7 CDTI  17 Zoll Aluraeder inkl. Winterraeder auf Alu´s,8350,2010,,2016-04-06 13:17:25
opel,Opel Astra 1.8,1400,2000,,2016-04-05 23:47:00
opel,Opel Corsa 1.2 16V Blue & Silver,2200,2003,,2016-04-07 03:46:38
opel,Opel vectra 1 6l kombi,350,1999,,2016-03-22 10:53:14
opel,Opel Meriva,2500,2016,,2016-03-22 11:18:09
opel,Opel Corsa 1.0 12V 3 Tuerer,1400,2005,,2016-04-05 15:45:04
opel,Opel Astra H Twin Top Edition*Euro 4*Tuev 03/2017,6300,2007,,2016-03-20 16:19:32
opel,Opel astra f,350,1995,ja,2016-03-20 23:47:26
opel,Opel corsa B automatik 1.4 beziner Tuev bis 2018 Neu Auto Top!,1250,2018,,2016-03-08 21:18:20
opel,Opel Astra 1.4 Turbo Sports Tourer ecoFLEX Start/Stop,16990,2012,,2016-04-06 05:45:07
opel,Astra G TURBO Coupe z20let Leder Xenon Tuning OPC,3500,2003,,2016-04-07 10:45:01
opel,Opel Astra 1.6 Sport,2900,2003,,2016-03-28 23:17:22
opel,Opel Vectra 2.2 DTI Selection Free,1600,2002,,2016-04-05 12:19:07
opel,Opel Corsa 1.2 16V,1899,2004,,2016-03-28 20:19:16
opel,Opel astra,700,2000,,2016-04-05 13:44:43
opel,Opel Corsa C 1 0 Enjoy,1300,2016,,2016-04-07 03:16:48
opel,Top geflegter  Opel  Meriva Edition  mit Anhaengerzugvorichtung,9700,2011,,2016-04-05 11:50:23
opel,Opel Agila 1.2 16 V Edition 8 Fach Bereifung/Klima,5750,2006,,2016-03-17 21:10:31
opel,Omega B Caravan 3 0 V6  18 Monate TÜV,1199,2017,,2016-03-11 11:46:56
opel,Opel Astra 1.8,1550,1998,,2016-04-07 14:57:06
opel,Opel corsa Bis 14Uhr Heute Reserviert! !!,800,2001,,2016-04-07 10:17:26
opel,Opel Astra GTC  BJ 2007  8 fach bereift  NAVI,5200,2007,,2016-04-06 22:45:00
opel,verkaufe Opel Vectra B 1.6 16V,199,1996,ja,2016-03-17 10:18:05
opel,Opel Corsa b 92 mit TÜV bis April 2017,750,1992,,2016-03-22 08:18:22
opel,Opel Astra G CC 1 6l 101 PS,1099,2000,,2016-04-07 03:44:53
opel,Opel Tigra Twin Top 1.4  Enjoy ,3590,2005,,2016-03-28 23:46:09
opel,!!!!!!!!!!!!!! Suche Opel Astra G !!!!!!!!!!!!!!!!!!!!!!!!!!!,1,2000,,2016-03-27 00:44:31
opel,Opel Corsa D 1 2l  Cosmo Teilleder,4200,2006,,2016-03-14 09:46:46
opel,Opel Vectra 1.6 Sport,1740,2000,,2016-04-06 15:25:17
opel,Opel Zafira 1.8 Family Plus,13450,2013,,2016-04-06 05:17:33
opel,Opel Corsa 1.2 16V,1700,2002,,2016-04-06 20:46:44
opel,Corsa   B zum Schlachten oder herrichten,300,1997,ja,2016-03-30 09:17:25
opel,opel vectra b,1000,2000,,2016-04-06 10:15:49
opel,Opel Mokka 1.6 CDTI Automatik Innovation,23300,2015,,2016-04-06 22:17:32
opel,Opel Zafira 1.8 Sport,5600,2006,,2016-03-06 10:27:00
opel,Opel Meriva 1.4 90PS Silber,4000,2006,ja,2016-03-25 06:18:17
opel,Opel Astra 1.6 Selction Kombi 2002 Sitzheitzung  Tempomat,1390,2002,,2016-03-30 16:41:15
opel,Opel Vectra A CC GT,999,1992,ja,2016-04-04 17:18:04
opel,Opel Corsa c TÜV 10 / 17 top Auto,1750,2003,,2016-03-17 18:18:51
opel,Opel Corsa 1.0 12V Selection,1499,2001,,2016-04-07 07:45:48
opel,Opel Vectra 2.0 DTI Caravan,890,1998,,2016-04-06 08:44:21
opel,Opel  Astra.1.6  16v. Bj 12/95.,900,1995,,2016-03-31 07:46:05
opel,Im guten zustand,1399,1999,,2016-03-26 21:18:13
opel,Opel Corsa 12V Eco,1099,1997,,2016-04-06 06:15:44
opel,Opel Zafira B Sport  OPC Line  1.8  140 PS  BJ 2008  7 Sitzer,8850,2008,,2016-04-06 15:17:57
opel,Opel Astra 1.7 CDTI Caravan AHK,2900,2005,,2016-04-06 16:25:17
opel,Opel Astra Innovation 1.4,0,2009,,2016-04-04 21:53:33
opel,Corsa schwarz 2009 TueV neu 90.000 km,3600,2009,,2016-04-02 17:18:39
opel,Opel Astra GTC 1.8 Opc Line Paket 2,7500,2007,,2016-04-05 16:45:01
opel,Opel Corsa,1000,1998,,2016-04-07 01:45:52
opel,Opel Meriva 1.6 KLIMA SERVO,1890,2017,,2016-04-06 05:16:23
opel,Opel Corsa 1.0 12V,1499,2002,,2016-03-18 00:17:52
opel,Opel Astra 1.6 Caravan Sport,4950,2005,,2016-03-29 11:17:05
opel,Opel Astra G,1000,1999,,2016-04-06 12:44:34
opel,Opel Corsa 1.2 16V,3999,2007,,2016-04-07 03:45:01
opel,Opel Movano 1.9 DTI L1H1 Transporter Diesel,870,2001,,2016-03-10 14:43:28
opel,opel astra 1.8L sehr zuverlaessig,2200,2004,,2016-04-05 23:16:58
opel,Opel Astra 1.7 CDTI Caravan DPF Edition 111 Jahre,6700,2010,,2016-04-06 02:16:19
opel,opel agila,1000,2001,,2016-03-12 09:16:15
opel,Corsa A 1 2i 45 PS 33 KW,0,1993,,2016-03-14 17:19:31
opel,Opel Zafira 1.8  Benzin/ Fluessiggas LPG,4800,2006,,2016-03-20 08:16:44
opel,Opel vectra C 1.8 *94.000km*,3999,2002,,2016-03-23 06:46:28
opel,Opel Corsa,129,1997,,2016-03-28 01:17:19
opel,Opel Corsa D 1 2L Benzin/LPG Autogas,6200,2012,,2016-04-06 10:45:08
opel,Opel Meriva 1.7 CDTI Euro 4 Klima,1250,2003,ja,2016-03-15 22:45:31
opel,Opel Astra Caravan 16V Club  Anhaengerkupplung,350,1994,ja,2016-03-09 15:46:49
opel,Opel Vectra 1.8 Komfort,950,1998,,2016-03-29 16:18:37
opel,Opel Calibra 2 5 XE Motor,150,1995,,2016-04-06 01:46:40
opel,Opel Speedster 2.0 Turbo,26950,2003,,2016-04-03 09:15:26
opel,Suche auto,1500,2000,,2016-03-17 15:44:44
opel,Opel Frontera 2.2 DTI Sport OFFROAD UMBAU,5199,2003,,2016-03-30 22:17:10
opel,Opel Corsa 12V City,900,2000,,2016-04-05 16:47:13
opel,Opel Corsa 1.0 sehr gepflegt  sehr sparsam   Blau,999,1998,,2016-04-05 11:50:44
opel,Opel Corsa 1.0  Klima Tuev,650,2002,,2016-03-31 09:15:45
opel,Opel Corsa 1.4,950,2016,,2016-03-21 03:17:20
opel,Opel vectra tuning 2.2,1800,2017,,2016-04-05 12:58:47
opel,Opel Omega Caravan 2.5 V6 CD   LPG   TÜV neu   Leder,1600,1996,,2016-04-07 06:17:39
opel,Opel Astra 1.3 CDTI DPF Edition AHK Klima TueV 7/17,4200,2009,,2016-03-19 16:17:51
opel,Opel Corsa B  ECO  TÜV 12/16,350,2000,ja,2016-04-02 23:16:34
opel,Opel Vectra 1.8 Caravan CD,500,1997,,2016-03-29 21:45:48
opel,Opel Vectra 2.2 Caravan Sport,2700,2001,,2016-04-07 11:46:18
opel,Reparaturbeduerfdiger Opel Vectra 1.8,0,1999,ja,2016-04-04 04:49:06
opel,Opel Astra 2.0 DTI Sportive Reserviert bis 18:30Uhr,2999,2017,,2016-03-24 17:58:06
opel,Opel Opel Vectra C Signum 3.0 V6 CDTI 24 V,2500,2003,,2016-04-05 20:45:50
opel,Opel Corsa D  Klimaautomatik  Euro 4,4600,2007,,2016-04-06 13:44:45
opel,Astra g Coupe,690,2002,,2016-04-01 14:46:19
opel,Opel Vectra 2.0 DTI Caravan,1600,2000,,2016-04-07 01:17:36
opel,Opel Corsa 1.4 Automatik,400,1995,,2016-04-02 13:42:51
opel,Opel Corsa b,850,2016,,2016-04-01 13:56:19
opel,Opel Corsa C,2500,2017,,2016-03-16 18:40:04
opel,Opel Astra 1.4 Caravan Edition,3800,2005,,2016-03-20 16:49:13
opel,Opel Corsa 1.0 12V,1800,2002,,2016-03-28 04:46:54
opel,Opel Antara  guter Zustand Diesel Automatik Service neu.,8650,2007,,2016-04-06 21:47:01
opel,Opel Corsa 1 Jahr TÜV,450,2017,,2016-03-25 10:47:44
opel,Opel Vectra  1 hand,1999,2000,,2016-03-18 00:17:30
opel,Opel Omega 2 2 16V,600,2000,ja,2016-03-31 06:45:15
opel,Opel Astra 1.6,1300,2000,,2016-04-04 17:15:26
opel,Opel Corsa 1.4 16V Automatik Edition,6950,2009,,2016-03-23 20:17:04
opel,Opel Corsa C 1.2 Twinport 80 Ps sofort Fahrbereit Festpreis,1650,2005,,2016-04-02 14:54:52
opel,Opel Corsa C 1.2 16V Automatik und Tuev 03/18 Tank ist Voll,2650,2001,,2016-03-30 19:45:08
opel,Opel Zafira 1 8 INNOVATION*BI XENON*AHK*WR* TOP ZUSTAND !,9490,2009,,2016-04-07 10:15:25
opel,Opel Corsa A   CC,1400,2018,,2016-03-31 13:46:34
opel,Opel Corsa City,799,1995,,2016-04-06 22:18:14
opel,Opel Astra 1.6 16v caravan sportline,800,1998,,2016-03-29 13:46:02
opel,Opel Astra 1.6 Caravan HU 09/17,1200,1999,,2016-03-25 08:45:38
opel,Opel Corsa 1.2 16V  ecoFLEX  Edition,8248,2012,,2016-04-06 19:16:25
opel,Opel Zafira 1.6 CNG Turbo Edition,8600,2009,,2016-04-07 10:45:26
opel,Opel Astra Caravan CDTI,3200,2005,,2016-04-02 13:17:33
opel,Opel Vectra B Ersatzteilspender,200,1997,,2016-03-17 10:42:34
opel,Opel Tigra Twin Top 1.4 Edition,6800,2010,,2016-04-06 17:15:42
opel,Opel Astra Kombi,0,1999,,2016-03-25 20:48:49
opel,Opel Astra G Limousine 1.6 Benzin,1500,2002,,2016-04-05 19:18:24
opel,Opel Kadett E LS,800,1987,,2016-04-06 19:18:10
opel,Opel Astra 1.7 cdti,4100,2010,ja,2016-03-08 06:44:48
opel,Opel Meriva 1.7 DTI Cosmo,2500,2005,,2016-04-06 06:46:22
opel,Opel Omega Caravan 2.0 16V Sport,1500,1999,ja,2016-04-06 10:16:12
opel,Opel Astra 1.6,950,1998,,2016-03-30 19:49:21
opel,Opel Vectra 1.6 nur 101138 km mi AHK,1150,1996,,2016-04-06 08:46:19
opel,Opel Astra 1.3 CDTI Caravan Edition,3500,2006,,2016-04-06 06:44:39
opel,Opel corsa b mit Maengeln,900,1999,ja,2016-04-06 18:46:27
opel,Opel Zafira 1.9 CDTI,3800,2006,,2016-04-05 18:44:48
opel,Opel Zafira 2.0 OPC,3750,2002,,2016-04-01 04:17:19
opel,Opel Corsa 1.4 Sport,5500,2010,,2016-04-05 19:18:16
opel,Opel Astra 2.0 Caravan Sportive,2840,1998,,2016-04-06 13:18:01
opel,Opel Vectra c 2 2,3200,2002,,2016-04-05 11:48:32
opel,Opel Meriva 1.7 CDTI Cosmo,1850,2004,,2016-04-06 02:16:06
opel,Opel Admiral,13900,1974,,2016-04-05 21:16:24
opel,Opel Corsa C,750,2003,,2016-03-19 11:16:05
opel,Opel vectra B an Bastler,600,1997,,2016-04-06 23:46:22
opel,Opel Corsa 1.4,350,1993,,2016-04-06 16:16:37
opel,Opel Combo   Tour,1995,2003,,2016-03-14 14:12:10
opel,OPEL OMEGA B 2.0 16 V MIT TÜV! NICHT FAHRBEREIT!,550,1995,ja,2016-03-15 23:17:50
opel,Hier biete ich ein Opel Astra G CC mit neuen Tuev,3000,2002,,2016-04-05 12:50:35
opel,Opel Corsa Automatik,1790,2004,,2016-03-27 12:16:05
opel,Opel Signum 2 2 DTI,2800,2017,,2016-04-05 15:15:30
opel,Opel Combo 1.7 Tour,1650,2003,,2016-03-23 12:46:06
opel,heute oder nie,110,1995,,2016-04-01 12:18:28
opel,Verkaufe Opel Astra H 1 6 16 v Teilledersitze,4000,2004,,2016-03-26 17:45:18
opel,Opel Astra Kombi dunkelgruen 1 6L 75 PS. TÜV 08/17,950,1998,,2016-04-03 14:19:11
opel,Oldtimer Ascona C,1550,1982,,2016-04-05 14:15:28
opel,Opel Kadett Cabrio,0,1991,,2016-04-07 14:57:21
opel,Opel astra g,1099,2016,,2016-04-05 16:46:32
opel,Opel Tigra Twin Top 1.4 Cosmo,3666,2005,,2016-04-06 05:46:20
opel,Opel Corsa 1.0 12V Editio,6450,2008,,2016-04-07 13:16:38
opel,Opel Signum 1.8 Edition,4400,2006,,2016-03-25 06:17:42
opel,Opel Corsa 1.2L,999,2000,,2016-03-19 16:49:14
opel,Verkaufe Opel Vectra 2 2 GTS,3900,2003,,2016-03-26 10:46:25
opel,Opel Astra GTC 1.6 Turbo 110 Jahre Innovation,8000,2009,,2016-04-01 01:45:19
opel,Opel Corsa 12V,500,2000,,2016-03-29 12:46:47
opel,Opel Astra 1 8 16V G Coupe  Frontschaden,750,2000,ja,2016-04-02 04:47:12
opel,Opel Omega 2.2 TÜV/HU NEU Inspektion neu,1499,2001,,2016-04-05 13:06:24
opel,Opel Corsa C 1.0 12V,1350,2001,,2016-04-01 22:15:25
opel,Opel Corsa Bastlerfahrzeug,500,2000,,2016-03-24 02:44:47
opel,Opel Corsa C mit TÜV,450,2001,ja,2016-04-06 05:16:01
opel,Opel Astra G EDITION 100 1.616V *Bastler/EXPORT*,0,1999,ja,2016-04-06 03:15:49
opel,OPEL INSIGNIA SPORTS TOURER,5500,2009,ja,2016-03-29 07:44:53
opel,Opel Astra Caravan,700,1995,,2016-04-07 04:17:40
opel,Opel Astra G CC 2 0 DI   Zum ausschlachten,200,1999,ja,2016-03-28 21:49:34
opel,Opel Corsa B Baujahr 1995 * Bastlerfahrzeug *,250,1995,,2016-04-07 14:58:05
opel,Opel  Corsa C 1.2l 111Tkm Bj 2002 bei Frankfurt/Main,2300,2002,,2016-04-06 09:17:45
opel,Opel Corsa 12V Edition 2000,500,2000,,2016-03-28 17:48:19
opel,Opel Corsa 1.2 16V,1690,2002,,2016-04-01 10:41:35
opel,Opel Corsa 1.0 12V Comfort TÜV/AU Neu,1499,2001,,2016-03-19 06:44:42
opel,Farbe beige,8500,2010,,2016-03-27 19:46:11
opel,Opel Astra Kombi 1 6 16v,850,1998,,2016-03-23 10:44:46
opel,Opel corsa mit tuev,399,1994,,2016-03-14 11:15:10
opel,Opel zafira  Familienauto / 7sitzer abzugeben,0,2001,,2016-03-29 18:43:28
opel,Opel Astra Caravan 1.6i  Bj. 12.97  TÜV 01.2017,600,1997,,2016-03-08 12:16:46
opel,Opel Corsa,799,1999,,2016-03-19 07:18:25
opel,Opel Meriva 1.7 CDTI Cosmo,3800,2006,,2016-04-06 15:17:43
opel,Opel Astra 1.6 Elegance Klima Bi Xenon 1. Hand TOP,4700,2004,,2016-03-23 09:17:07
opel,OPEL VECTRA C 2.2 COMFORT,2390,2002,,2016-04-06 17:15:59
opel,Opel Zafira a 2 2dti schlachtfest,1000,2005,ja,2016-04-02 08:16:28
opel,Opel Astra G Cabrio 1.6 l TÜV NEU  Bertone Linea Rosso Tuning,3699,2004,,2016-03-20 11:48:58
opel,Opel Corsa D TÜV / AU Neu !,5499,2018,,2016-04-06 15:46:58
opel,OPEL VECTRA. TÜV NEU.,1600,2018,,2016-04-02 01:19:06
opel,Opel Tigra C20XE,3100,1995,,2016-04-07 11:17:08
opel,Opel Zafira 2.2 16V Edition 2000,1100,2001,,2016-03-24 06:27:34
opel,Opel Asta G CC,650,2000,,2016-03-13 04:46:28
opel,Opel astra  tuev bis 01.2017 !,850,2002,ja,2016-03-24 09:42:15
opel,Corsa C 1.0 Klima   TÜV 2018   Sehr guter Zustand,1500,2001,,2016-04-02 20:45:09
opel,Opel Vectra TÜV und HU NEU,2500,2004,,2016-04-07 11:17:19
opel,Opel vectra V6 auch tausch!,450,1999,ja,2016-03-29 09:47:35
opel,Opel Zafira 1.8 Innovation,10800,2011,,2016-04-07 02:46:51
opel,Gepflegter Opel zu verkaufen. Wir sind 2te Hand,2699,2001,,2016-04-04 10:16:17
opel,Opel Vectra 1.6,699,1999,,2016-03-17 13:44:34
opel,Top opel mit TÜV bis 2017,800,2017,,2016-04-05 19:18:32
opel,Opel Vectra Diesel  TÜV NEU! !!  Tausch moeglich! !,999,2000,,2016-04-05 12:17:02
opel,Opel Vectra 2.2 Caravan Automatik Edition,7200,2006,,2016-04-05 12:47:44
opel,Opel Astra Caravan 1.3  CDTI DPF Edition AHK TueV 7/17 Klima,4200,2009,,2016-03-12 14:56:56
opel,Opel Agila  54000km   TueV neu  top Zustand  super sparsam!,5200,2009,,2016-04-06 18:19:19
opel,Opel Meriva 1.8 Automatik Klima abn.Ahk ,2990,2004,,2016-03-09 13:56:33
opel,Opel Omega MV6 3.0l,900,1999,ja,2016-04-05 12:16:29
opel,Opel Corsa B 1 0 12V  ECO Tuev bis 08.2017 Anfaengerauto,750,2000,,2016-04-05 12:48:17
opel,Opel Kadett E Cabrio  Youngtimer mit Tuev,1100,1991,,2016-04-06 02:15:30
opel,Opel Vectra C 2 2L Silber ohne TÜV  8fach bereift,0,2002,,2016-03-31 20:17:17
opel,Opel astra g cc tuning,0,1999,,2016-04-05 23:15:52
